19187	900226	526943	1	Attempted User Privilege Gain	PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt
19	263102	236263	2	Potentially Bad Traffic	(http_inspect) LONG HEADER
3	234954	199089	3	Unknown Traffic	(http_inspect) NO CONTENT-LENGTH OR TRANSFER-ENCODING IN HTTP RESPONSE
12	156246	99752	2	Potentially Bad Traffic	Consecutive TCP small segments exceeding threshold
15	80041	24899	2	Potentially Bad Traffic	Reset outside window
8	18824	18653	3	Unknown Traffic	(http_inspect) INVALID CONTENT-LENGTH OR CHUNK SIZE
33	21883	14194	3	Unknown Traffic	(http_inspect) UNESCAPED SPACE IN HTTP URI
5	9724	7260	2	Potentially Bad Traffic	Bad segment, adjusted size <= 0
1	6400	5070	2	Potentially Bad Traffic	(spp_ssl) Invalid Client HELLO after Server HELLO Detected
30881	7799	3401	2	Attempted Information Leak	MALWARE-OTHER dns request with long host name segment - possible data exfiltration attempt
14	6021	3288	2	Potentially Bad Traffic	(http_inspect) NON-RFC DEFINED CHAR
31738	3147	2911	1	A Network Trojan was detected	PROTOCOL-DNS domain not found containing random-looking hostname - possible DGA detected
2012648	8661	2745	1	Potential Corporate Privacy Violation	ET POLICY Dropbox Client Broadcasting
2	2894	2668	2	Senstive Data	SENSITIVE-DATA Credit Card Numbers
2013031	1878	1878	2	Attempted Information Leak	ET POLICY Python-urllib/ Suspicious User Agent
4	66781	1658	3	Generic Protocol Command Decode	TCP Timestamp is outside of PAWS window
2002334	1619	1608	1	Potential Corporate Privacy Violation	ET CHAT Google IM traffic Jabber client sign-on
2019416	1456	1456	1	Potential Corporate Privacy Violation	ET POLICY SSLv3 outbound connection from client vulnerable to POODLE attack
7	1421	1347	3	Unknown Traffic	(http_inspect) SERVER CONSECUTIVE SMALL CHUNK SIZES
2020565	1328	1271	1	Potential Corporate Privacy Violation	ET POLICY Dropbox DNS Lookup - Possible Offsite File Backup in Use
2009702	1115	1100	1	Potential Corporate Privacy Violation	ET POLICY DNS Update From External net
2012647	923	923	1	Potential Corporate Privacy Violation	ET POLICY Dropbox.com Offsite File Backup in Use
2002157	777	757	1	Potential Corporate Privacy Violation	ET CHAT Skype User-Agent detected
2003492	722	719	1	A Network Trojan was detected	ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0)
